name,calories,protein,fat,carbs
all-purpose flour,362.0,12.0,1.55,75.03
almond,620.0,20.4,57.8,16.2
american cheese,366.0,18.0,30.6,5.27
banana,91.0,0.74,0.26,21.55
bartlett pear,57.0,0.38,0.16,15.1
beef eye of round roast,122.0,23.4,2.48,0.0
beef porterhouse steak,145.0,22.7,5.32,0.0
beef t-bone steak grilled,219.0,27.3,11.4,0.0
beef tenderloin roast roasted,176.0,27.7,6.36,0.0
beef top loin steak,155.0,22.8,6.39,0.0
beef top round roast,123.0,23.7,2.41,0.0
bread flour,363.0,14.3,1.65,72.8
breakfast sausage,248.5,15.0,19.55,2.15
broccoli,31.5,2.57,0.34,6.28
cantaloupe melon,34.0,0.82,0.18,8.16
cheddar cheese,408.0,23.3,34.0,2.44
chicken breast braised,166.0,32.1,3.24,0.0
chicken drumstick braised,156.0,23.9,5.95,0.0
chorizo sausage fried,346.0,19.3,28.1,2.63
coconut oil,833.0,0.0,99.1,0.84
corn flour,364.0,6.2,1.74,80.8
cottage cheese,84.0,11.0,2.3,4.31
dried egg,575.0,48.1,39.8,1.87
dried egg white,376.0,79.9,0.65,6.02
dried egg yolk,654.0,34.2,55.5,1.07
egg,149.0,12.35,10.13,0.94
egg white,51.5,10.4,0.08,1.55
egg yolk,315.0,15.9,26.95,0.8
fig dried,249.0,3.3,0.92,63.9
flour,358.0,8.75,1.64,77.2
frankfurter,314.0,11.7,28.0,2.89
fuji apple,65.0,0.15,0.16,15.7
gala apple,61.0,0.13,0.15,14.8
garlic,143.0,6.62,0.38,28.2
granny smith apple,59.0,0.27,0.14,14.2
granulated sugar,385.0,0.0,0.32,99.6
grape tomato,27.0,0.83,0.63,5.51
green bean canned,21.0,1.04,0.39,4.11
green kiwifruit,58.0,1.06,0.44,14.0
haddock,74.0,16.3,0.45,0.0
ham,106.0,16.7,3.73,0.27
honeycrisp apple,60.0,0.1,0.1,14.7
hummus,229.0,7.35,17.1,14.9
italian sausage fried,322.0,18.2,26.2,2.15
kale,35.0,2.92,1.49,4.42
kale frozen,36.0,2.94,1.21,5.3
kosher dill pickle,12.0,0.48,0.43,1.99
manzanilla olive,130.0,1.15,12.9,4.96
marinara sauce,45.0,1.41,1.48,8.05
milk 1%,43.0,3.38,0.95,5.18
milk 2%,50.0,3.36,1.9,4.9
mozzarella cheese,298.0,23.7,20.4,4.44
navel orange,47.0,0.91,0.15,11.8
nectarine,39.0,1.06,0.28,9.18
nonfat yogurt,72.0,9.18,0.26,7.92
oatmeal cookie,430.0,5.79,14.3,69.6
onion ring frozen,288.0,4.52,14.4,36.3
parmesan cheese,421.0,29.6,28.0,12.4
pollock,56.0,12.3,0.41,0.0
queso seco cheese,326.0,24.5,24.3,2.07
red carrot frozen,37.0,0.81,0.47,7.92
red delicious apple,62.0,0.19,0.21,14.8
red onion,44.0,0.94,0.1,9.93
red tomato canned,18.0,0.84,0.5,3.32
rice flour,360.75,6.94,2.1,78.47
ricotta cheese,157.0,7.81,11.0,6.86
romaine lettuce,17.0,1.24,0.26,3.24
salsa,29.0,1.44,0.19,6.74
skim milk,34.0,3.43,0.08,4.9
smooth peanut butter,597.0,22.5,51.1,22.3
soy flour,409.0,44.85,12.02,30.4
strawberry,31.0,0.64,0.22,7.63
sunflower seeds,612.0,21.0,56.1,17.1
swiss cheese,393.0,27.0,31.0,1.44
tuna canned,90.0,19.0,0.94,0.08
turkey ground,220.0,27.1,11.6,0.0
white bread,270.0,9.43,3.59,49.2
white grapefruit juice canned,37.0,0.55,0.7,7.59
white onion,35.0,0.89,0.13,7.68
whole milk,60.0,3.28,3.2,4.65
whole wheat bread,254.0,12.3,3.55,43.1
whole wheat flour,370.0,15.1,2.73,71.2
yellow mustard,61.0,4.25,3.38,5.3
yellow onion,38.0,0.83,0.05,8.61
yellow peach,42.0,0.91,0.27,10.1
